2022-01-26 18:17:08,106 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Latte (/usr/share/applications/org.kde.latte-dock.desktop) Exec ['/usr/bin/latte-dock']
2022-01-26 18:17:08,117 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:38:34,281 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 18:38:34,282 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 18:38:34,283 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:38:34,488 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-01-26 18:38:34,586 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 18:38:34,788 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 18:38:34,951 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 18:38:35,169 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:38:35,548 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:38:35,777 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Konsole (/usr/share/applications/org.kde.konsole.desktop) Exec ['konsole']
2022-01-26 18:38:35,789 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:42:26,145 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
